features,importance_score
balance_difference_90,0.26886565288850667
balance_difference_60,0.24337473939851098
incoming_foreign_amount_30,0.14062740347463265
outgoing_domestic_amount_90,0.11141205133821395
outgoing_domestic_amount_60,0.08874671539679413
outgoing_foreign_amount_30,0.021217701532111735
outgoing_foreign_amount_90,0.020804233991455416
incoming_foreign_amount_60,0.019348490463592483
incoming_domestic_count_30,0.018336380217548284
incoming_foreign_amount_90,0.017756944356000726
outgoing_foreign_amount_60,0.016729346599208977
outgoing_domestic_count_30,0.007685196010208272
incoming_domestic_count_60,0.007172858772992028
incoming_domestic_count_90,0.005895363249028582
outgoing_foreign_count_60,0.0014458285451158768
outgoing_foreign_count_30,0.0014089860366283185
balance_difference_30,0.0014025922001009326
outgoing_domestic_amount_30,0.0013921461076902687
incoming_foreign_count_60,0.001219863168487286
incoming_domestic_amount_90,0.0011536949952918978
incoming_foreign_count_90,0.0009561507257878805
incoming_domestic_amount_60,0.0008054721623928867
outgoing_foreign_count_90,0.0007419641175007783
outgoing_domestic_count_90,0.0006969615835239584
outgoing_domestic_count_60,0.00046119040592681977
incoming_foreign_count_30,0.0003420722627481844
